time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,serials,hour,EventID,NTSB_Number,EventTimeUTC
2018-07-29 18:23:08+00:00,aacc5b,46.189727783203125,-86.605224609375,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888583.369,1532888587.838,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:09+00:00,aacc5b,46.189727783203125,-86.605224609375,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888583.369,1532888588.33,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:10+00:00,aacc5b,46.189727783203125,-86.605224609375,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888583.369,1532888589.809,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:11+00:00,aacc5b,46.189727783203125,-86.605224609375,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888583.369,1532888590.642,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:12+00:00,aacc5b,46.189727783203125,-86.605224609375,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888583.369,1532888591.198,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:13+00:00,aacc5b,46.17260431839248,-86.58517456054688,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888592.867,1532888592.928,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:14+00:00,aacc5b,46.17260431839248,-86.58517456054688,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888592.867,1532888592.928,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:15+00:00,aacc5b,46.17260431839248,-86.58517456054688,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888592.867,1532888594.131,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:16+00:00,aacc5b,46.17260431839248,-86.58517456054688,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888592.867,1532888594.131,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:17+00:00,aacc5b,46.17260431839248,-86.58517456054688,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888592.867,1532888594.131,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:18+00:00,aacc5b,46.17260431839248,-86.58517456054688,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888592.867,1532888594.131,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:19+00:00,aacc5b,46.17260431839248,-86.58517456054688,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888592.867,1532888598.494,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:20+00:00,aacc5b,46.17260431839248,-86.58517456054688,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888592.867,1532888599.636,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:21+00:00,aacc5b,46.17260431839248,-86.58517456054688,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888592.867,1532888600.786,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:22+00:00,aacc5b,46.17260431839248,-86.58517456054688,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888592.867,1532888601.656,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:23+00:00,aacc5b,46.155519647113344,-86.56505584716797,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11269.980000000001,11506.2,1532888602.314,1532888602.371,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:24+00:00,aacc5b,46.15283203125,-86.56188220512576,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888603.849,1532888603.946,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:25+00:00,aacc5b,46.15104675292969,-86.5598055211509,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11269.980000000001,11506.2,1532888604.912,1532888604.912,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:26+00:00,aacc5b,46.15104675292969,-86.5598055211509,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11269.980000000001,11506.2,1532888604.912,1532888605.455,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:27+00:00,aacc5b,46.14747619628906,-86.55558516339556,258.4767551681147,140.73466362180537,0.0,UAL804,False,False,False,6222,11277.6,11498.580000000002,1532888606.922,1532888606.922,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:28+00:00,aacc5b,46.14582824707031,-86.553642459032,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888607.773,1532888607.853,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:29+00:00,aacc5b,46.1436767578125,-86.55109684641764,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11506.2,1532888608.989,1532888608.989,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:30+00:00,aacc5b,46.14276433395127,-86.55008697509766,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11506.2,1532888609.6,1532888609.6,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:31+00:00,aacc5b,46.14097595214844,-86.54794832555257,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11506.2,1532888610.966,1532888610.966,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:32+00:00,aacc5b,46.13992464744438,-86.5466537475586,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888611.559,1532888611.559,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:33+00:00,aacc5b,46.13777160644531,-86.5441299066311,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888612.604,1532888612.992,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:34+00:00,aacc5b,46.13580322265625,-86.54178526343367,258.8026597371,140.6464859983627,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888613.701,1532888613.701,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:35+00:00,aacc5b,46.133267677436436,-86.53882598876953,258.4050726943232,140.5741557638275,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888614.905,1532888614.905,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:36+00:00,aacc5b,46.13218688964844,-86.53756490567832,258.3354192452053,140.4135600913885,0.0,UAL804,False,False,False,6222,11269.980000000001,11498.580000000002,1532888615.876,1532888615.876,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:37+00:00,aacc5b,46.13026428222656,-86.5351532726753,258.5970346506017,140.16524104499575,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888616.863,1532888616.863,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:38+00:00,aacc5b,46.1284727969412,-86.53298950195312,258.8634975230466,139.91742856949529,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888617.946,1532888617.946,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:39+00:00,aacc5b,46.127588304422666,-86.53189086914062,258.68554508306994,139.43578199747756,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888618.5,1532888618.501,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
2018-07-29 18:23:40+00:00,aacc5b,46.12513732910156,-86.52885623094511,258.9140995777341,139.02826366648515,0.0,UAL804,False,False,False,6222,11277.6,11506.2,1532888619.652,1532888619.652,"[-800946956, -1369326768, -800946957]",2018-07-29 18:00:00+00:00,20180730X13125,CEN18LA298,2018-07-29 18:35:00+00:00
