EventID,NTSB_Number,EventType,EventDate,EventDateTime,EventTime,EventTimezone,EventState,EventSiteZipCode,Latitude,Longitude,LatitudeDecimal,LongitudeDecimal
20150706X63628,GAA15CA157,ACC,2015-07-02,2015-07-02 13:00:00.000,13:00,UTC,UT,84602,401444N,1113951W,40.245555,-111.664169
20150605X50246,ERA15WA233,ACC,2015-05-31,2015-05-31 14:30:00.000,14:30,UTC,NULL,NULL,424816N,0135647E,42.804443,13.946389
20150330X71955,ERA15LA172,ACC,2015-03-29,2015-03-29 18:30:00.000,18:30,UTC,AL,35476,331314N,0873641W,33.220554,-87.611389
20150202X20456,ANC15FA009,ACC,2015-01-31,2015-01-31 22:05:00.000,22:05,UTC,AK,99687,613141N,1494117W,61.528057,-149.688049
20150129X05038,ERA15LA115,ACC,2015-01-28,2015-01-28 17:00:00.000,17:00,UTC,FL,33406,263535N,0008056W,26.593055,-80.084999
20141228X13823,ERA15LA084,ACC,2014-12-27,2014-12-27 20:45:00.000,20:45,UTC,MD,21158,393630N,0077028W,39.608333,-77.007774
20141023X01333,ERA15FA025,ACC,2014-10-23,2014-10-23 19:37:00.000,19:37,UTC,MD,21701,392439N,0772257W,39.410831,-77.382499
20141012X30001,WPR15FA010,ACC,2014-10-12,2014-10-12 15:12:00.000,15:12,UTC,NV,89447,039917N,1191753W,39.154724,-119.298057
20140927X22122,ERA14FA459,ACC,2014-09-27,2014-09-27 14:20:00.000,14:20,UTC,NY,14086,425354N,0783450W,42.898334,-78.580558
20140707X70004,WPR14FA283,ACC,2014-07-07,2014-07-07 13:34:00.000,13:34,UTC,ID,83611,044363N,1153121W,44.600833,-115.522499
20140427X21627,WPR14FA174,ACC,2014-04-27,2014-04-27 23:06:00.000,23:06,UTC,CA,94803,037593N,1222451W,37.984165,-122.414169
20140406X50715,ERA14LA181,ACC,2014-04-03,2014-04-03 16:30:00.000,16:30,UTC,NY,11705,404530N,0073313W,40.758335,-73.053611
20131104X94753,CEN14LA036,ACC,2013-11-02,2013-11-02 22:50:00.000,22:50,UTC,WI,54880,464123N,0092541W,46.689723,-92.094718
20130628X45644,WPR13FA296,ACC,2013-06-28,2013-06-28 15:48:00.000,15:48,UTC,ID,83677,445442N,0115297W,44.911666,-115.485275
20130531X43432,WPR13FA254,ACC,2013-05-31,2013-05-31 17:03:00.000,17:03,UTC,AZ,85027,335153N,0112125W,33.864723,-112.201385
20130429X04502,WPR13FA211,ACC,2013-04-29,2013-04-29 21:01:00.000,21:01,UTC,CA,91359,034729N,1184718W,34.124721,-118.78833
20130204X05610,CEN13LA149,ACC,2013-02-01,2013-02-01 14:05:00.000,14:05,UTC,TX,77845,303323N,0963422W,30.556388,-96.572776
20121113X95501,ERA13LA054,ACC,2012-11-10,2012-11-10 15:55:00.000,15:55,UTC,GA,30292,033940N,0842140W,33.161109,-84.361114
20121015X10207,ERA13LA022,ACC,2012-10-13,2012-10-13 13:20:00.000,13:20,UTC,PA,19380,395925N,0753455W,39.990276,-75.581947
20121005X01523,WPR13LA004,ACC,2012-10-05,2012-10-05 21:07:00.000,21:07,UTC,AZ,85224,033611N,0112315W,33.103054,-112.054168
20120826X92743,ERA12WA530,ACC,2012-08-18,2012-08-18 11:40:00.000,11:40,UTC,NULL,NULL,224923S,0472348W,-22.823055,-47.396667
20120817X22416,CEN12LA553,ACC,2012-08-17,2012-08-17 20:20:00.000,20:20,UTC,TX,78801,029649N,0995642W,29.113611,-99.944999
20120608X61902,WPR12LA250,ACC,2012-06-07,2012-06-07 21:46:00.000,21:46,UTC,NV,89510,039538N,1194650W,39.885555,-119.780555
20120528X70400,ERA12RA367,ACC,2012-05-28,2012-05-28 20:04:00.000,20:04,UTC,VA,22742,038299N,0774226W,38.485832,-77.707221
